dataset,model,ablation,scale,quantum_heads_K,attention_encoding,scheduler,cutmix_alpha,mixup_alpha,n_runs,weighted_accuracy_mean,weighted_accuracy_std,weighted_f1_mean,weighted_f1_std,macro_f1_mean,macro_f1_std,mean_auc_mean,mean_auc_std,folder_name,source_path
breastmnist,aqhm_net,no_quantum,micro,0,False,cosine,0.0,0.0,1,0.75,nan,0.7632756361006915,nan,0.7250418041307001,nan,0.8703007518796992,nan,breastmnist_no_quantum_micro,./results_combinations/breastmnist_no_quantum_micro/summary.json
breastmnist,aqhm_net,none,micro,4,True,cosine,0.0,0.0,1,0.7115384615384616,nan,0.7277218477836442,nan,0.6901346281174134,nan,0.8583959899749374,nan,breastmnist_k4_attenc_micro,./results_combinations/breastmnist_k4_attenc_micro/summary.json
breastmnist,aqhm_net,none,small,1,False,cosine,0.0,0.0,10,0.8128205128205128,0.016495947919332274,0.8137689729995307,0.014444554549492254,0.7652474907058353,0.017517581710625424,0.8267543859649124,0.013571231506885327,breastmnist,./results/breastmnist/summary.json
cifar10,aqhm_net,no_quantum,medium,0,False,cosine,0.0,0.0,1,0.8486,nan,0.8493798034787952,nan,0.849379803478795,nan,0.9852188555555557,nan,cifar10_no_quantum_medium,./results_combinations/cifar10_no_quantum_medium/summary.json
cifar10,aqhm_net,no_quantum,micro,0,False,cosine,0.0,0.0,1,0.7633,nan,0.7642827537226939,nan,0.7642827537226938,nan,0.9713070166666669,nan,cifar10_no_quantum_micro,./results_combinations/cifar10_no_quantum_micro/summary.json
cifar10,aqhm_net,no_quantum,small,0,False,cosine,0.0,0.0,1,0.8414,nan,0.8421085858780464,nan,0.8421085858780464,nan,0.9852100444444444,nan,cifar10_no_quantum,./results_combinations/cifar10_no_quantum/summary.json
cifar10,aqhm_net,none,large,1,False,cosine,0.0,0.0,1,0.8969,nan,0.8976638111994516,nan,0.8976638111994516,nan,0.99007115,nan,cifar10_large,./results_combinations/cifar10_large/summary.json
cifar10,aqhm_net,none,large,4,False,cosine,0.0,0.0,1,0.8886,nan,0.8889259859468719,nan,0.8889259859468719,nan,0.9894887666666667,nan,cifar10_k4_large,./results_combinations/cifar10_k4_large/summary.json
cifar10,aqhm_net,none,large,8,False,cosine,0.0,0.0,1,0.8934,nan,0.8935816909883597,nan,0.8935816909883597,nan,0.9900471388888888,nan,cifar10_k8_large,./results_combinations/cifar10_k8_large/summary.json
cifar10,aqhm_net,none,medium,1,False,cosine,0.0,0.0,1,0.8399,nan,0.840459138912785,nan,0.8404591389127851,nan,0.9834548999999999,nan,cifar10_medium,./results_combinations/cifar10_medium/summary.json
