domain,dataset,config,K,attention_encoding,scale,scheduler,resolution,epochs,n_runs,degenerate,weighted_accuracy_mean,weighted_accuracy_std,weighted_f1_mean,weighted_f1_std,macro_f1_mean,macro_f1_std,mean_auc_mean,mean_auc_std,kept_source,n_duplicates,collapsed_groups
Digits,mnist,"K4, medium",4,False,medium,cosine,28,50,1,False,0.9945,,0.9944980091044494,,0.9944104420345357,,0.9999397276741373,,results_combinations/mnist_k4_medium/summary.json,0,
Digits,mnist,K4,4,False,small,cosine,28,50,1,False,0.9943,,0.9942985393382158,,0.9941920987503732,,0.9997248417742703,,results_combinations/mnist_k4/summary.json,0,
Medical,breastmnist,"no-quantum, micro, onecycle, cutmix1.0+mixup0.8",1,False,micro,onecycle,28,50,1,False,0.8525641025641025,,0.8550526915519105,,0.8192170101274752,,0.897451963241437,,results_combinations/breastmnist_no_quantum_micro_onecycle_cutmix1.0_mixup0.8_ra2_9/summary.json,0,
Medical,breastmnist,"K4+AE, micro, onecycle, cutmix1.0+mixup0.8",4,True,micro,onecycle,28,50,1,False,0.8205128205128205,,0.8267450142450142,,0.7893518518518519,,0.9152046783625731,,results_combinations/breastmnist_k4_attenc_micro_onecycle_cutmix1.0_mixup0.8_ra2_9/summary.json,0,
Medical,breastmnist,"K4, micro, onecycle, cutmix1.0+mixup0.8",4,False,micro,onecycle,28,50,1,False,0.8205128205128205,,0.8259433324824698,,0.7868436463009956,,0.8740601503759399,,results_combinations/breastmnist_k4_micro_onecycle_cutmix1.0_mixup0.8_ra2_9/summary.json,0,
Medical,breastmnist,"no-quantum, micro",1,False,micro,cosine,28,50,1,False,0.8141025641025641,,0.8209394537373439,,0.7830736034524095,,0.9012113617376776,,results_old_backbone/breastmnist_no_quantum_micro/summary.json,0,
Medical,breastmnist,"K4+AE, micro",4,True,micro,cosine,28,50,1,False,0.7884615384615384,,0.7988851727982162,,0.7631469979296066,,0.8930659983291562,,results_old_backbone/breastmnist_k4_attenc_micro/summary.json,0,
Medical,breastmnist,"K4, micro",4,False,micro,cosine,28,50,1,False,0.782051282051282,,0.7925295857988166,,0.7548076923076923,,0.891186299081036,,results_old_backbone/breastmnist_k4_micro/summary.json,0,
Medical,breastmnist,no-quantum,1,False,small,cosine,28,50,1,False,0.7628205128205128,,0.7757367011098354,,0.7412935323383084,,0.8999582289055973,,results_old_backbone/breastmnist_no_quantum/summary.json,0,
Medical,breastmnist,K4+AE,4,True,small,cosine,28,50,1,False,0.75,,0.763614360629286,,0.7273093989511901,,0.8899331662489557,,results_old_backbone/breastmnist_k4_attenc/summary.json,0,
Medical,breastmnist,K4,4,False,small,cosine,28,50,1,False,0.7307692307692307,,0.7457980615875353,,0.7097288676236044,,0.8865914786967418,,results_old_backbone/breastmnist_k4/summary.json,0,
Medical,dermamnist,"no-quantum, micro",1,False,micro,cosine,28,50,1,False,0.5740648379052369,,0.6398049343297786,,0.4048480261224339,,0.8830370129813863,,results_old_backbone/dermamnist_no_quantum_micro/summary.json,0,
Medical,dermamnist,no-quantum,1,False,small,cosine,28,50,1,False,0.5201995012468827,,0.6006858452878825,,0.42545143953041636,,0.8856146409463557,,results_old_backbone/dermamnist_no_quantum/summary.json,0,
Medical,dermamnist,K4,4,False,small,cosine,28,50,1,False,0.46184538653366586,,0.5455049207024573,,0.3867156944674458,,0.8930521392424126,,results_old_backbone/dermamnist_k4/summary.json,0,
Medical,dermamnist,K4+AE,4,True,small,cosine,28,50,1,False,0.456359102244389,,0.5450384820864889,,0.3908277841934397,,0.8876739599050423,,results_old_backbone/dermamnist_k4_attenc/summary.json,0,
Medical,dermamnist,"K4, micro",4,False,micro,cosine,28,50,1,False,0.41546134663341644,,0.5051786898918729,,0.3788289373006039,,0.8851469968456698,,results_old_backbone/dermamnist_k4_micro/summary.json,0,
Medical,dermamnist,"K4+AE, micro, onecycle",4,True,micro,onecycle,28,50,1,False,0.29925187032418954,,0.36436471096639295,,0.342925579424002,,0.8916490451253686,,results_combinations/dermamnist_k4_attenc_micro_onecycle/summary.json,0,
Medical,dermamnist,"K4+AE, micro",4,True,micro,cosine,28,50,1,False,0.2174563591022444,,0.23274427336571243,,0.3010433868989422,,0.8857854609266962,,results_old_backbone/dermamnist_k4_attenc_micro/summary.json,0,
Medical,dermamnist,"K4, micro, onecycle, cutmix1.0+mixup0.8",4,False,micro,onecycle,28,50,1,True,0.1486284289276808,,0.13516033260114058,,0.2838430007667692,,0.8890447516189212,,results_combinations/dermamnist_k4_micro_onecycle_cutmix1.0_mixup0.8_ra2_9/summary.json,0,
Medical,dermamnist,"no-quantum, micro, onecycle, cutmix1.0+mixup0.8",1,False,micro,onecycle,28,50,1,True,0.1456359102244389,,0.1333040766898556,,0.27498929597371463,,0.8768552404535513,,results_combinations/dermamnist_no_quantum_micro_onecycle_cutmix1.0_mixup0.8_ra2_9/summary.json,0,
Medical,dermamnist,"K4+AE, micro, onecycle, cutmix1.0+mixup0.8",4,True,micro,onecycle,28,50,1,True,0.14912718204488778,,0.13183712549105303,,0.2713071335914888,,0.8840827135805963,,results_combinations/dermamnist_k4_attenc_micro_onecycle_cutmix1.0_mixup0.8_ra2_9/summary.json,0,
Medical,pathmnist,"K4+AE, micro",4,True,micro,cosine,28,50,1,False,0.9027855153203342,,0.9000216693823504,,0.8786473728265753,,0.988466800318998,,results_old_backbone/pathmnist_k4_attenc_micro/summary.json,0,
Medical,pathmnist,"no-quantum, micro",1,False,micro,cosine,28,50,1,False,0.8965181058495821,,0.8915380477154405,,0.8645033303925397,,0.9854115830129478,,results_old_backbone/pathmnist_no_quantum_micro/summary.json,0,
Medical,pathmnist,no-quantum,1,False,small,cosine,28,50,1,False,0.8948467966573816,,0.8908639970176183,,0.8676511796107078,,0.9876086934762799,,results_old_backbone/pathmnist_no_quantum/summary.json,0,
Medical,pathmnist,"K4, micro",4,False,micro,cosine,28,50,1,False,0.8881615598885794,,0.8872006359696668,,0.8652436369364631,,0.9836765335283424,,results_old_backbone/pathmnist_k4_micro/summary.json,0,
Medical,pathmnist,K4,4,False,small,cosine,28,50,1,False,0.8887186629526462,,0.8868880116457739,,0.8651168025562895,,0.9860293363807793,,results_old_backbone/pathmnist_k4/summary.json,0,
Medical,pathmnist,"no-quantum, micro, onecycle, cutmix1.0+mixup0.8",1,False,micro,onecycle,28,50,1,False,0.8837047353760445,,0.8788873861486478,,0.8524976427269578,,0.9881698262016629,,results_combinations/pathmnist_no_quantum_micro_onecycle_cutmix1.0_mixup0.8_ra2_9/summary.json,0,
Medical,pathmnist,"K4+AE, micro, onecycle, cutmix1.0+mixup0.8",4,True,micro,onecycle,28,50,1,False,0.8764623955431755,,0.8763784426392623,,0.854518436780663,,0.9885999393539573,,results_combinations/pathmnist_k4_attenc_micro_onecycle_cutmix1.0_mixup0.8_ra2_9/summary.json,0,
Medical,pathmnist,K4+AE,4,True,small,cosine,28,50,1,False,0.8803621169916435,,0.8751962751950342,,0.8507642387500209,,0.9833190007288333,,results_old_backbone/pathmnist_k4_attenc/summary.json,0,
Medical,pneumoniamnist,"K4+AE, micro, onecycle, cutmix1.0+mixup0.8",4,True,micro,onecycle,28,50,1,False,0.9391025641025641,,0.9381447657703365,,0.9331642144427532,,0.9760355029585799,,results_combinations/pneumoniamnist_k4_attenc_micro_onecycle_cutmix1.0_mixup0.8_ra2_9/summary.json,0,
Medical,pneumoniamnist,"K4, micro",4,False,micro,cosine,28,50,1,False,0.9230769230769231,,0.9213585593799862,,0.914656940961933,,0.9695595003287311,,results_old_backbone/pneumoniamnist_k4_micro/summary.json,0,
Medical,pneumoniamnist,K4+AE,4,True,small,cosine,28,50,1,False,0.9198717948717948,,0.9180818326874857,,0.9111009801686802,,0.9699868507560816,,results_old_backbone/pneumoniamnist_k4_attenc/summary.json,0,
Medical,pneumoniamnist,K4,4,False,small,cosine,28,50,1,False,0.9150641025641025,,0.9129862054177686,,0.9054477878636267,,0.9758492220030681,,results_old_backbone/pneumoniamnist_k4/summary.json,0,
Medical,pneumoniamnist,"K4+AE, micro",4,True,micro,cosine,28,50,1,False,0.9022435897435898,,0.8997098646034815,,0.8909262841177734,,0.9742055665132588,,results_old_backbone/pneumoniamnist_k4_attenc_micro/summary.json,0,
Medical,pneumoniamnist,no-quantum,1,False,small,cosine,28,50,1,False,0.9022435897435898,,0.8992654252049624,,0.8901557454397493,,0.9714223098838483,,results_old_backbone/pneumoniamnist_no_quantum/summary.json,0,
Medical,pneumoniamnist,"no-quantum, micro",1,False,micro,cosine,28,50,1,False,0.8926282051282052,,0.8891877232820838,,0.8790610219991611,,0.9594564979180363,,results_old_backbone/pneumoniamnist_no_quantum_micro/summary.json,0,
Natural,cifar10,"K1, micro, r224, onecycle, cutmix1.0+mixup0.8",1,False,micro,onecycle,224,50,1,False,0.8802,,0.8797311757138998,,0.8797311757138997,,0.9906523222222223,,results_combinations/cifar10_r224_micro_onecycle_cutmix1.0_mixup0.8_ra2_9/summary.json,0,
Natural,cifar10,K4+AE,4,True,small,cosine,28,50,1,False,0.851,,0.8517037286511728,,0.8517037286511726,,0.9858766666666666,,results_old_backbone/cifar10_k4_attenc/summary.json,0,
Natural,cifar10,K4,4,False,small,cosine,28,50,1,False,0.8482,,0.8484758835930782,,0.8484758835930784,,0.9857184777777779,,results_old_backbone/cifar10_k4/summary.json,0,
Natural,cifar10,"K4, micro, onecycle, cutmix1.0+mixup0.8",4,False,micro,onecycle,28,50,1,False,0.8461,,0.8464337239288235,,0.8464337239288238,,0.9857905666666668,,results_combinations/cifar10_k4_micro_onecycle_cutmix1.0_mixup0.8_ra2_9/summary.json,0,
Natural,cifar10,"K8, micro, onecycle, cutmix1.0+mixup0.8",8,False,micro,onecycle,28,50,1,False,0.8431,,0.8439580163781418,,0.8439580163781418,,0.9851794222222221,,results_combinations/cifar10_k8_micro_onecycle_cutmix1.0_mixup0.8_ra2_9/summary.json,0,
Natural,cifar10,no-quantum,1,False,small,cosine,28,50,1,False,0.8414,,0.8425366136763427,,0.8425366136763428,,0.9844772333333334,,results_old_backbone/cifar10_no_quantum/summary.json,0,
Natural,cifar10,"K1, micro, onecycle, cutmix1.0+mixup0.8",1,False,micro,onecycle,28,50,1,False,0.8406,,0.8418415411903568,,0.8418415411903568,,0.9854622555555554,,results_combinations/cifar10_micro_onecycle_cutmix1.0_mixup0.8_ra2_9/summary.json,0,
Natural,cifar10,"K4+AE, micro",4,True,micro,cosine,28,50,1,False,0.8381,,0.8388218632512966,,0.8388218632512965,,0.9832727555555556,,results_old_backbone/cifar10_k4_attenc_micro/summary.json,0,
