domain,dataset,config,K,attention_encoding,scale,scheduler,resolution,epochs,n_runs,degenerate,weighted_accuracy_mean,weighted_accuracy_std,weighted_f1_mean,weighted_f1_std,macro_f1_mean,macro_f1_std,mean_auc_mean,mean_auc_std,kept_source,n_duplicates,collapsed_groups
Natural,cifar10,"K1, micro, r224, onecycle, cutmix1.0+mixup0.8",1,False,micro,onecycle,224,50,1,False,0.8802,,0.8797311757138998,,0.8797311757138997,,0.9906523222222224,,results_combinations/cifar10_r224_micro_onecycle_cutmix1.0_mixup0.8_ra2_9/summary.json,0,
Natural,cifar10,K4+AE,4,True,small,cosine,28,50,1,False,0.851,,0.8517037286511728,,0.8517037286511726,,0.9858766666666666,,results_old_backbone/cifar10_k4_attenc/summary.json,0,
Natural,cifar10,K4,4,False,small,cosine,28,50,1,False,0.8482,,0.8484758835930782,,0.8484758835930784,,0.985718477777778,,results_old_backbone/cifar10_k4/summary.json,0,
Natural,cifar10,"K4, micro, onecycle, cutmix1.0+mixup0.8",4,False,micro,onecycle,28,50,1,False,0.8461,,0.8464337239288235,,0.8464337239288238,,0.9857905666666668,,results_combinations/cifar10_k4_micro_onecycle_cutmix1.0_mixup0.8_ra2_9/summary.json,0,
Natural,cifar10,"K8, micro, onecycle, cutmix1.0+mixup0.8",8,False,micro,onecycle,28,50,1,False,0.8431,,0.8439580163781418,,0.8439580163781418,,0.985179422222222,,results_combinations/cifar10_k8_micro_onecycle_cutmix1.0_mixup0.8_ra2_9/summary.json,0,
Natural,cifar10,no-quantum,1,False,small,cosine,28,50,1,False,0.8414,,0.8425366136763427,,0.8425366136763428,,0.9844772333333334,,results_old_backbone/cifar10_no_quantum/summary.json,0,
Natural,cifar10,"K1, micro, onecycle, cutmix1.0+mixup0.8",1,False,micro,onecycle,28,50,1,False,0.8406,,0.8418415411903568,,0.8418415411903568,,0.9854622555555554,,results_combinations/cifar10_micro_onecycle_cutmix1.0_mixup0.8_ra2_9/summary.json,0,
Natural,cifar10,"K4+AE, micro",4,True,micro,cosine,28,50,1,False,0.8381,,0.8388218632512966,,0.8388218632512965,,0.9832727555555556,,results_old_backbone/cifar10_k4_attenc_micro/summary.json,0,
Natural,cifar10,"K4, micro",4,False,micro,cosine,28,50,1,False,0.8313,,0.8323461280117536,,0.8323461280117537,,0.9829472166666664,,results_old_backbone/cifar10_k4_micro/summary.json,0,
Natural,cifar10,"no-quantum, micro",1,False,micro,cosine,28,50,1,False,0.8153,,0.8155681691695624,,0.8155681691695624,,0.9815243222222222,,results_old_backbone/cifar10_no_quantum_micro/summary.json,0,
