domain,dataset,config,K,attention_encoding,scale,scheduler,resolution,epochs,n_runs,degenerate,weighted_accuracy_mean,weighted_accuracy_std,weighted_f1_mean,weighted_f1_std,macro_f1_mean,macro_f1_std,mean_auc_mean,mean_auc_std,kept_source,n_duplicates,collapsed_groups
Medical,dermamnist,"no-quantum, micro",1,False,micro,cosine,28,50,1,False,0.5740648379052369,,0.6398049343297786,,0.4048480261224339,,0.8830370129813863,,results_old_backbone/dermamnist_no_quantum_micro/summary.json,0,
Medical,dermamnist,no-quantum,1,False,small,cosine,28,50,1,False,0.5201995012468827,,0.6006858452878825,,0.4254514395304163,,0.8856146409463557,,results_old_backbone/dermamnist_no_quantum/summary.json,0,
Medical,dermamnist,K4,4,False,small,cosine,28,50,1,False,0.4618453865336658,,0.5455049207024573,,0.3867156944674458,,0.8930521392424126,,results_old_backbone/dermamnist_k4/summary.json,0,
Medical,dermamnist,K4+AE,4,True,small,cosine,28,50,1,False,0.456359102244389,,0.5450384820864889,,0.3908277841934397,,0.8876739599050423,,results_old_backbone/dermamnist_k4_attenc/summary.json,0,
Medical,dermamnist,"K4, micro",4,False,micro,cosine,28,50,1,False,0.4154613466334164,,0.5051786898918729,,0.3788289373006039,,0.8851469968456698,,results_old_backbone/dermamnist_k4_micro/summary.json,0,
Medical,dermamnist,"K4+AE, micro, onecycle",4,True,micro,onecycle,28,50,1,False,0.2992518703241895,,0.3643647109663929,,0.342925579424002,,0.8916490451253686,,results_combinations/dermamnist_k4_attenc_micro_onecycle/summary.json,0,
Medical,dermamnist,"K4+AE, micro",4,True,micro,cosine,28,50,1,False,0.2174563591022444,,0.2327442733657124,,0.3010433868989422,,0.8857854609266962,,results_old_backbone/dermamnist_k4_attenc_micro/summary.json,0,
Medical,dermamnist,"K4, micro, onecycle, cutmix1.0+mixup0.8",4,False,micro,onecycle,28,50,1,True,0.1486284289276808,,0.1351603326011405,,0.2838430007667692,,0.8890447516189212,,results_combinations/dermamnist_k4_micro_onecycle_cutmix1.0_mixup0.8_ra2_9/summary.json,0,
Medical,dermamnist,"no-quantum, micro, onecycle, cutmix1.0+mixup0.8",1,False,micro,onecycle,28,50,1,True,0.1456359102244389,,0.1333040766898556,,0.2749892959737146,,0.8768552404535513,,results_combinations/dermamnist_no_quantum_micro_onecycle_cutmix1.0_mixup0.8_ra2_9/summary.json,0,
Medical,dermamnist,"K4+AE, micro, onecycle, cutmix1.0+mixup0.8",4,True,micro,onecycle,28,50,1,True,0.1491271820448877,,0.131837125491053,,0.2713071335914888,,0.8840827135805963,,results_combinations/dermamnist_k4_attenc_micro_onecycle_cutmix1.0_mixup0.8_ra2_9/summary.json,0,
